"date","djia","nasdaqcom","btc","sp500","rate"
2019-01-01,NA,NA,-0.516752841540233,NA,NA
2019-01-02,-0.207334316326809,-0.459980363387635,-0.510733149166999,-0.465326305967245,1.97192288132058
2019-01-03,-0.319133419747297,-0.520350848876795,-0.517161356790128,-0.542665047312659,1.97192288132058
2019-01-04,-0.192611159347765,-0.438234833039902,-0.51589724892256,-0.438057367716875,1.97192288132058
2019-01-07,-0.175979005829905,-0.413000987642489,-0.505801246644945,-0.415965918426867,1.97192288132058
2019-01-08,-0.132598880400392,-0.39107234834028,-0.505463794200135,-0.385199685950867,1.97192288132058
2019-01-09,-0.117071133043409,-0.373155703768628,-0.505195712479813,-0.372069275246102,1.97192288132058
2019-01-10,-0.0962703544305855,-0.364510813911392,-0.526671951971719,-0.357532479318931,1.97192288132058
2019-01-11,-0.0972815974950685,-0.368861590030034,-0.526163272095046,-0.35800542302204,1.97192288132058
2019-01-14,-0.111867550641243,-0.388413988046799,-0.525037140750921,-0.37499405867323,1.97192288132058
2019-01-15,-0.0854854556172425,-0.353246929203657,-0.529579625247993,-0.340531397780817,1.97192288132058
2019-01-16,-0.0615052746056996,-0.350009717964513,-0.528113319534265,-0.333312783364928,1.97192288132058
2019-01-17,-0.0339052838306713,-0.335165963729861,-0.526693682775029,-0.308595251933967,1.97192288132058
2019-01-18,0.0230512455550128,-0.313466657955326,-0.527942621819206,-0.265345794873247,1.97192288132058
2019-01-21,NA,NA,-0.53287259693141,NA,NA
2019-01-22,-0.0280817433688724,-0.354285043650774,-0.531152392710016,-0.312403693332695,1.97192288132058
2019-01-23,0.000907224479650835,-0.352671358711575,-0.532324766342537,-0.305185078916805,1.97192288132058
2019-01-24,-0.00288366660630146,-0.338447610203886,-0.531376071145131,-0.300667221963412,1.97192288132058
2019-01-25,0.0282768483254172,-0.311189426723442,-0.531442337572454,-0.272751097592996,1.97192288132058
2019-01-28,-0.00712174055494039,-0.334802429828386,-0.539235347406736,-0.298775447150972,1.97192288132058
2019-01-29,0.00164236600391515,-0.351918941949128,-0.540581243669555,-0.303567113616692,1.97192288132058
2019-01-30,0.0753089671335332,-0.305757293815012,-0.538287328969253,-0.252476747793884,1.97192288132058
2019-01-31,0.0727359717986078,-0.276334607416677,-0.539998146476279,-0.223788978434184,1.97192288132058
2019-02-01,0.0836140337083437,-0.281664151594912,-0.538181043793227,-0.220764627911664,1.97192288132058
2019-02-04,0.113338143081131,-0.256712425205535,-0.5399161079872,-0.197938871293144,1.97192288132058
2019-02-05,0.142498192252122,-0.240444059447218,-0.539482007234824,-0.181970798369719,1.97192288132058
2019-02-06,0.138903790605834,-0.248437928379991,-0.5426512444247,-0.189550343506403,1.97192288132058
2019-02-07,0.101508123713708,-0.274362160144849,-0.543512781019353,-0.221362030484014,1.97192288132058
2019-02-08,0.0908028370009194,-0.27142555774302,-0.527403810156116,-0.219084433176931,1.97192288132058
2019-02-11,0.0817880370190423,-0.268530706568597,-0.528509623154552,-0.216694822887533,1.97192288132058
2019-02-12,0.144910269511459,-0.236707026371427,-0.528202405486604,-0.173221339862183,1.97192288132058
2019-02-13,0.164814988524431,-0.234988665140663,-0.529495541654307,-0.162891253715306,1.97192288132058
2019-02-14,0.147219020427524,-0.23302814679095,-0.530410927126047,-0.171976751169788,1.97192288132058
2019-02-15,0.222403333091107,-0.219471821475634,-0.530174095382735,-0.134800886927955,1.97192288132058
2019-02-18,NA,NA,-0.512402152974805,NA,NA
2019-02-19,0.223770289796363,-0.215190531328315,-0.510511074405821,-0.129623397967592,1.97192288132058
2019-02-20,0.234462025513313,-0.214503425414452,-0.507333612744841,-0.123475129827162,1.97192288132058
2019-02-21,0.216877914537766,-0.223260148916522,-0.510087802234055,-0.135696990786479,1.97192288132058
2019-02-22,0.24756753236408,-0.203029889900534,-0.506989745544021,-0.113555757948775,1.97192288132058
2019-02-25,0.257754493486028,-0.195002321762784,-0.514391939600013,-0.109274372846937,1.97192288132058
2019-02-26,0.252000401877904,-0.196542345607919,-0.516099711566858,-0.11202491385713,1.97192288132058
2019-02-27,0.239665607915479,-0.194988305279298,-0.516299216957111,-0.11391668866957,1.97192288132058
2019-02-28,0.227950772012687,-0.201542353312708,-0.516073949492108,-0.123736493452565,1.97192288132058
2019-03-01,0.24663759527463,-0.182807682906973,-0.515784784380039,-0.0998403905585846,1.97192288132058
2019-03-04,0.211630291399123,-0.188111878125712,-0.521692218191644,-0.11338151553184,1.97192288132058
2019-03-05,0.209424866826331,-0.188471833350552,-0.513567611603398,-0.117314415799808,1.97192288132058
2019-03-06,0.18686754037788,-0.209478963419325,-0.513111559362508,-0.139965930001394,1.97192288132058
2019-03-07,0.15295109166741,-0.234664794905222,-0.512657066682619,-0.167994067354125,1.97192288132058
2019-03-08,0.149056874238185,-0.238638318861957,-0.513280962374967,-0.175287357091558,1.97192288132058
2019-03-11,0.18304277180233,-0.193928122326266,-0.513034140678923,-0.125217553996515,1.97192288132058
2019-03-12,0.166744311557005,-0.18409630471852,-0.512797367813121,-0.11498703494503,1.97192288132058
2019-03-13,0.191852612972142,-0.168476872323296,-0.512944348558037,-0.0908420143125701,1.97192288132058
2019-03-14,0.193046794480451,-0.172203467592235,-0.511880584648337,-0.0938788107220135,1.97192288132058
2019-03-15,0.216579792629308,-0.155020749953751,-0.509678433651969,-0.0764545690284861,1.97192288132058
2019-03-18,0.227628935861511,-0.147281861731201,-0.50536379138105,-0.0634361713060363,1.97192288132058
2019-03-19,0.223102903251294,-0.144458285866419,-0.50303262390951,-0.0638966691222223,1.97192288132058
2019-03-20,0.199099007997033,-0.142960013248688,-0.502051163407555,-0.0742765388167952,1.98422567141964
2019-03-21,0.235828982218569,-0.11015786321498,-0.505555454853361,-0.0361298953948941,1.98422567141964
2019-03-22,0.157878572529356,-0.16869696093633,-0.505878385765815,-0.103549264861921,1.98422567141964
2019-03-25,0.16033638439965,-0.170225354082402,-0.509548299046467,-0.106474048289049,1.97192288132058
2019-03-26,0.184203075821041,-0.154127273687286,-0.508221882501457,-0.0814578155719132,1.97192288132058
2019-03-27,0.178758963242734,-0.168484924345724,-0.502075880873534,-0.0977494815553615,1.98422567141964
2019-03-28,0.194320588089315,-0.160795242926901,-0.503158153413831,-0.0852164734229455,1.98422567141964
2019-03-29,0.230098604853164,-0.142855336957123,-0.501394399299684,-0.0616190718151398,2.00883125161777
2019-04-01,0.285952421952451,-0.113155303119599,-0.497790119799368,-0.020809008591514,1.98422567141964
2019-04-02,0.272521691201549,-0.107257047579499,-0.454298211149525,-0.0207467791568946,1.98422567141964
2019-04-03,0.279127801673049,-0.0932814206518159,-0.448685018330201,-0.0130801128117422,1.98422567141964
2019-04-04,0.307330811762912,-0.0944045286690077,-0.451711644486829,-0.0056250265442975,1.98422567141964
2019-04-05,0.314167289163674,-0.0804160781500507,-0.444848688760023,0.0109902324991731,1.98422567141964
2019-04-08,0.299943825156191,-0.0758854735305138,-0.429596590512747,0.0147613362371297,1.98422567141964
2019-04-09,0.267685679561516,-0.0891880110278189,-0.434707694783676,-0.0071060870882474,1.98422567141964
2019-04-10,0.268800248969271,-0.0727961809256044,-0.42750057752876,0.00535224572262495,1.98422567141964
2019-04-11,0.266410192078172,-0.0778310807275817,-0.443172961224869,0.00548915047878854,1.98422567141964
2019-04-12,0.312017762448716,-0.066854981265888,-0.441663282190656,0.0292483486166051,1.98422567141964
2019-04-15,0.30735452600563,-0.0692860955930645,-0.443015034204584,0.0269707513095227,1.98422567141964
2019-04-16,0.318854239849478,-0.0620646243672821,-0.432863564731898,0.0288127425742671,1.98422567141964
2019-04-17,0.318325751011758,-0.0633019518137313,-0.43187654274586,0.0205860113175372,1.99652846151871
